"Title","Body","Submitted" 
"16959","I've been thinking about this for quite some time now, and I'm pretty sure I'm bi. The problem is I don't know how to tell my friends and family. I think my friends would still accept me, but I'm not so sure if my family will do the same. Well, I think my mom would understand and support me, but I don't think my dad would. I'm so scared. It's really heavy keeping this to myself. :((","November 22, 2018 4"
"16958","Asan na yung batang may dahon sa ulo?","November 22, 2018 4"
"16957","Subscribe to pewdiepie

I'm doing my part, now do yours","November 22, 2018 3:54:08 PM +08"
"16956","if she says ""me also"" (with a tagalog accent in the ""also"") in agreement instead of ""me, too!"", you know she's from SOM","November 22, 2018 3"
"16955","HELLO EVERYONE PLEASE HELP ME FIND MY FILI NOTEBOOK ITS A MUJI BUT IT DOESNT HAVE A NAME AND KASAMA NYA ALSO A MUJI PENCIL CASE WITH 2 PENS INSIDE AND A RULER !!! PLS I NEED IT FOR MY FINALS :(( LAST SEEN KOSTKA 304 LAST TUESDAY NOV30 😢","November 22, 2018 2"
"16954","I need help with refunding my japanese lessons enrollment at Yuno (Xanland place,in front of ADMU). I deposited for the first half of my lessons already but they won't let me refund it anymore, I need to transfer it to someone else. SO, I need to find someone who's about to enroll and just let them take my slot instead. In exchange for helping out, you can pay 2k less.

Just comment below and I'll send you a message.","November 22, 2018 2:11:45 PM +08"
"16954","Hey, double standards, sexism, and prejudice applies to both Men and Women! So how about instead of believing your a victim grow the fuck up and watch a Ben Shapiro video you fockin snowflake","November 22, 2018 2"
"16953","I mean the react sticker system is cool and all, but its still confusing especially in certain news posts. Are the angry reacts because of being angry at the news or at the website for attacking a certain someone?","November 22, 2018 1"
"16952","""When you try your best but you don't succeed..""

This line from Coldplay's Fix You keeps replaying in my head.. this is how I feel with Philo 101.. :(( I really do try my best to explain the topics in the exams but i still get a low grade :(( How to get a good grade in Philo?! Please help huhuhu","November 22, 2018 12:49:03 PM +08"
"16951","Unpopular Opinion:

If the Chinese were to take our islands in the West Philippine Sea, I would gladly let them if they had a proven record of being good environmental stewards. The thing is, they don't. They take tiger bone powder and rhino horn as medicine, eat sharksfin soup, and reclaim land by building on top of coral reefs. They also smoke like chimneys and throw the butts in the sea and on the street. Not all Chinese are like this. But everywhere, we see those who are. And these are the people we are entrusting with our coral reefs and forests. If I were the president, I would bargain our rightful land away to some foreign government that actually gave a damn for the environment.","November 22, 2018 12:15:03 PM +08"
"16950","Nietzsche is dead. -God","November 22, 2018 12"
"16949","tag your cute math major friends <3","November 22, 2018 11"
"16948","Hii may aattend ba ng RiB here hehe worth it ba  :)) and is it full house??","November 22, 2018 11"
"16947","idk how people still chew with their mouths fricking open. grow up","November 22, 2018 11"
"16946","Is Jef the Eagle's admin a senior? What are your plans for the page after you graduate :o","November 22, 2018 9"
"16945","Can anyone who is taking baseball/softball for PE please tell me what it's like? As in, do you play games? And how do they teach you the sport? I'm very interested since I'm considering it as my PE for next semester.","November 22, 2018 8"
"16944","It is with great sadness that I acknowledge the phasing out of the great Bon Chon gangnam bao. Do these monsters really think they can replace you with that nasty double loaded sandwich? I don't even see Chops Rice Box on the menu anymore... Another bad omen.","November 22, 2018 8"
"16943","You know what's annoying?

Facing the fact that you are jealous but also knowing that you're not in the position to be because the both of you are friends.","November 22, 2018 8:06:34 AM +08"
"16942","Why can't I grow facial hair ampota","November 22, 2018 7"
"16941","Watch out, Ateneans. I'm here to tell you about Scammy S, an Atenean graduate who runs a scam.

He markets it as a ""youth development"" program in barangays. Supposedly, he incubates projects in the barangay that can improve it. The catch? He asks for an insane amount of money (hundreds of thousands) from the LGU to run his ""program"" but how many of those projects actually come to life? Hmm... And where does all that money go? Hmm... He also sends people to the ""UN"" and asks for a crazy amount of money too. I heard the participants of his ""training program"" for this ""UN thing"" always have a ton of complaints because it's not run well.  Is this what Ateneo taught us? Is this ""development"" or is Scammy S just using people and barangays for money? Oh and Scammy S also likes to take credit for his team's work without doing any of the actual work. He just likes the photo ops in high level places so he looks cool. I think three full core teams have quit under him because of his lack of professionalism. Come on, Scammy S!  Ateneans, you have been warned! Don't fall for pretty marketing with no substance!","November 22, 2018 7:15:39 AM +08"
"16940","I’ve been seeing this guy in Starbucks Katip who I think is cute. He wears a MEA lanyard and wears glasses. I heard his friends call him him Julius? Or Juju?? Idk I wasn’t able to hear clearly. But yea, if anyone can tag him, would appreciate it. Rapsa niya hahahha","November 22, 2018 7"
"16939","Ang landi","November 22, 2018 7"
"16938","A great day to you all except to the little shit who stole my umbrella.","November 22, 2018 6"
"16937","Wholesome shit only my doods","November 22, 2018 5"
"16936","People are losing their shit to 8D audio

IT'S JUST BINAURAL AUDIO SPINNING AROUND FFS AND IT'S ANNOYING","November 22, 2018 4:47:33 AM +08"
"16935","I really like this MGT girl from my english class but idk if she’s taken or interested :( I wish I wasn’t so shy, dammit

send help how to make landi po - SOSE freshie","November 22, 2018 2:48:28 AM +08"
"16934","When you feel like you're special to him
But guess what
It's just your feelings
 fleeting Does it matter if they will like you back?
 It never does, because that's when you realize, there is no point in telling them you love them when they can't love you back.","November 22, 2018 2:41:54 AM +08"
"16933","Can we have prom

I just wanna slow dance with the girl i like","November 22, 2018 2:36:50 AM +08"
"16932","Okay so here's an update from an FW post I submitted back in September (7394, for reference). Palapit na ang finals, and for some reason I am still so fuckin attracted to my classmate that I found super duper cute?? Like wth patapos na yung sem tapos wala naman nangyayari. Bobo lang ako. Now I just kinda hate him because wala tangina gusto ko pa rin siya huhu. I gave up on trying to be halaman altogether, but I also kinda gave up on him at some point kasi sobrang wala kaming common friend circles at common activities except that one class we have together. And I was super obvious with him and got the feel na sinusungitan niya ako ergo di siya interested. Tapos out of nowhere kinausap niya ako after class??!?! As in I know that's nbd pero isipin mo. Isipin mo yung sobrang crush na crush mo isang tao tapos sinungitan ka nila, tapos kumbinsado ka na ayaw na ayaw nila sayo tapos biglang kakausapin ka nila?? Naku kuya mahirap yan. I'm so Maropoque™. Kaya ayan naloka ako all over again. Tumingin ulit ako sa horoscope para lang may reference ako of some sort na kung type ba ng sign niya yung girl yung magmamake ng first move?? Honestly sobrang bobo ko lang. Like, am I really gonna base my actions on his natal chart? Tbh probably but sobrang ???  Apparently his sign will try anything once, so I was kinda banking on that?? But ayun, recently, I decided okay fine- I'll ask him out. Fuck it. I'm gonna do it. What's the worst that could happen? I've been rejected several times before. I can handle it.  And I started telling people na parang okay I'm gonna do it, kahit na sobrang mukhang cannot be, susubukan ko kasi I will never know for sure. After asking for some advice, I figured sige I can build up talking to him for a few times muna after class before really asking him out, kahit one meeting lang. So ayun hinahype ko sarili ko, kakausapin ko siya after class.  Ito na. Ito na. Tapos alam mo yung sa movies, yung hahabulin na ng main character yung gusto nila tapos biglang pag nag-pan na yung camera may kasamang iba AGOYYYYYY There was a girl waiting for him na, and they walked together. And like ang sakit mga pare bro. As in feel ko naman tropa lang sila pero alam mo yung sobrang naramdaman ko lang lalo na magka-ibang mundo kami and sobrang longshot talaga. And parang he has enough girls around him, and hindi kami same crowd, so di rin ako tugma sa personality ng mga girls that he usually hangs around.  But also for some reason parang this is the third time since freshman year na I've seen this same girl with a guy I like and parang ate girl tulong how?? Tapos ex ata siya ng orsem crush ko, so wow an extra oof. Oof lang talaga.","November 22, 2018 2:33:55 AM +08"
"16931","Spent the past months feuding with two friends. Met both separately in different stages of my life. Each of them was there for me growing up. Hope I was able to help them in some way too.

We all knew each other, but I felt the two of them were on the same side against me after shit hit the fan. Two of them were best friends from way back, even before I became friends with either one of them. I only came along much later (and even became friends with them individually), and three of us have only ever hung out all together twice. Below is me, whenever I imagine losing you both, with you two avoiding me as if I were some fucking Nazi rapist pedophile scum who does not deserve to live. Really wish we can all be friends. I want you to know I love you both; painful as it is thinking you both might still hate my guts.","November 22, 2018 1:46:35 AM +08"
"16930","What is it in the system allows its students to feel depressed? suicidal? be in a constant state of poor mental health? There's a certain degree of challenge that students need but does it have to reach the point of sacrificing one's mental health for grades and staying in college?

This semester has been way too hard for so many people, wish it could end. Please take care of yourselves.","November 22, 2018 1:24:07 AM +08"
"16929","""Friendship >>>> Relationship""

Paulit ulit ko nang sinasabi sa sarili ko to pero gago gusto parin kita ba't ba ganto","November 22, 2018 1:18:13 AM +08"
"16928","Can someone please explain wtf is going on with the frats in UP???? Ang supot ng ateneo walang frat e","November 22, 2018 1"
"16927","The other day, my friend asked me who was the best person I've met so far during my first year of college and I don't know why but I just blurted out: Kuya Resty from Faura

Yo that guard is heckin solid dude so if you have classes there or you're just passing by Faura, make sure you greet him cause he'll surely greet you with the usual ""Hi Ma'am/Sir!"" Just an appreciation post for all the guards arounds campus because they really do care about you! P.S. He gives solid advice and he has this super duper kuwentuhan buddy vibe wah pls protect this man","November 22, 2018 12:49:04 AM +08"
"16926","Hello ""engejowa!!!"" :) Are you still looking for a jowa?","November 22, 2018 12"
"16925","Everybody has a story behind that cigarette that they smoke. Some people smoke because they think its cool, some people smoke because its part of their routine, but the reason i smoke is because of a girl. A girl whom i love so much it hurts, the urge to see and talk to her is always there. The smile from her angelic face never fails to make me feel loved. But of course where there is light, there is darkness ; it hurts when you feel no comfort from anyone. When the love of your life is no longer yours you feel like nothing matters. She doesnt even care about what you do anymore, she hurt you like you were no one to her. Also Imagine getting betrayed by your friends when you treated them like family yeah that happened to me too. I would even die for them or even help them hide a dead body if they needed me to. Everything hurts to the point you’re numb and you don’t even know yourself anymore. Sometimes you just dont know eho to trust and lean on. That is where my cigarette comes in, it comforts me whenever i feel alone and unwanted. It just makes you forget about the problems that you have as if it comes with the smoke that you release from between your lips. So guys whenever you see a smoker just ask him/her about his/her life dont judge him or her right away because you never know the story behind that burnt cigarette.","November 22, 2018 12:41:33 AM +08"
"16924","fk maraming cuties sa flc class ko","November 22, 2018 12"
"16923","#ADMUFreedomWall16917
Hi bud. We're in the same boat. My best friend and I are partners of a girl who we're very lucky to have. Unfortunately I'm not the official partner since my bestie is clingy af and they're the couple that our friends see often. It really can't be helped in our case and it frustrates us to no end but I'm kinda timing it before I come out to my friends. Even if they won't understand at least I tried, right? We both love her and I want to be able to say it without being afraid. Any tips from polyam fam is welcome.","November 22, 2018 12:25:29 AM +08"
"16922","RIP DLSU FW","November 22, 2018 12:2"
"16921","I'm in love with my roommate but he is straight and that is just sad.","November 22, 2018 12"
"16920","pupunta ako sa buybust para manood at para makita ko crush ko sa LFC hehe","November 22, 2018 12"
"16919","waitt there's a minor in humanitarian action in ateneo??!?!","November 21, 2018 11"
"16918","To the guy na kumuha ng bath essentials ko sa ud cr tangina sana maging mabango ka and maging soft hair mo pakyu ka","November 21, 2018 11"
"16917","I'm seriously hoping polyamory becomes valid and not seen as weird or cheating or being not decisive because as much as my partners want to come out, they're scared of what their friends will say (we're all from trad families so it's not an option to come out to them). It's hard too since I also know they don't wanna hide our relationship either.","November 21, 2018 11"
"16916","I THINK I HAVE A HAPPY CRUSH ON THIS GIRL fml she has a boyfriend but whatever it's just a happy crush","November 21, 2018 11"
"16915","I stan ate security guard sa ID scanning sa New Rizal Library!!! I love how she would try to brighten your day in the morning by greeting you 'Good Morning'. You are a blessing to many of us here :)","November 21, 2018 11"
"16914","We live in a society

where being average is the new notion of failure, and being extraordinary is the new notion of success. But if everyone ought to be extraordinary, no one will be. And what's so wrong with being average anyway? Why do so many people look down on it? Seriously, our perspective on life is askew. I am in dismay. -average sophie with perfectionist parents","November 21, 2018 11:21:21 PM +08"
"16913","Tuwing pasko:

ASAN NA MGA NINONG AT NINANG KO KASAMA ANG PERA KO","November 21, 2018 11:16:17 PM +08"
"16912","sometimes i'm like Wow I'm So Stable and have No Turbulent Feelings Whatsoever and then suddenly i plunge head first into Absolute Misery and Want To Die","November 21, 2018 11"
"16911","The guy I love went back to his hometown because the stress was getting to him and people started making it hard for him to go to school. It's getting to me too and the only thing I could want right now is to go after him and tell him what he needed to hear before he left and remind of the love he clearly deserves","November 21, 2018 11"
"16910","I'm really curious, is Carrie worth the pay? Why and why not? Please be honest :(","November 21, 2018 10"
"16909","THIS HAPPENS EVERY TIME!!! I love you guys but please stop seizing my mints thx :)","November 21, 2018 10"
"16908","sat next crushie today and they smell really nice can you like stop","November 21, 2018 10"
"16907","When your mom makes you pizza rolls 😐
.
And then they're done 😍😍😍👌👌👌👌👌👏👏👏👏👏👏😭😭😭😭👏👏👏💯💯💯💯💯💯💯😂😂😂😂😂😂😂🤓🤓🤓","November 21, 2018 10:16:20 PM +08"
"16906","Iba pa rin talaga kapag ginamit ka lang for their personal growth","November 21, 2018 10"
"16905","Can i just say, athletic girls are so HOT AND CUTE. Legit everyone in rowing, swimming, fencing, track, football etc. are so attractive.","November 21, 2018 10"
"16904","If gay means happy then that means I'm straight","November 21, 2018 9"
"16903","Why am I not surprised","November 21, 2018 9"
"16902","=-ATTENTION ALL 9 YEAR-OLDS-=
PEWDIEPIE is losing the war against T-Series! Are you doing your part in the war? SUBSCRIBE to Pewdiepie on Youtube, and SHARE the word to your friends and family! This is a war we can't afford to lose.
 https://www.youtube.com/user/PewDiePie/featured We must not let them win! 9 year-old army, UNITE!","November 21, 2018 9:22:45 PM +08"
"16901","charot","November 21, 2018 9:1"
"16900","Lagi na lang kami nagkakaroon ng eye contact ni crush :( when is he gonna approach me ba???? im shy eh","November 21, 2018 8"
"16899","Parang cute lahat ng comm majors ah","November 21, 2018 8"
"16898","Dear Philo Majors,

Please enlighten me why you chose your course. No malice intended, just curious.","November 21, 2018 8:06:23 PM +08"
"16897","tangina how do you get over a block crush???

cos whole package siya wtf!! funny sporty and singer
 TICKS ALL THE BOXES  dafaq gagu","November 21, 2018 8:03:00 PM +08"
"16896","i rly think there should still be PE during junior n senior yr cos its when ateneans are the fattest (hello thesis, stress eating, all nighters)","November 21, 2018 7"
"16895","No matter where life takes me find me with a smile pursuit to be happy only laughing like a child","November 21, 2018 7"
"16894",">be me
>2015
>10th grade
 >classmate fills empty alcohol spray with water
 >pretends to sneeze on people with it
 >some tard borrows it and sprays it on his face
 >cantstop.mp4
 >mfw i have an identical bottle with real alcohol
 >idea
 >antichrist.exe
 >borrow spray bottle from him
 >hides it
 >gives my own spray bottle to him
 >fucker sprays alcohol on his eyes","November 21, 2018 7:30:08 PM +08"
"16893","Don't bitch about the state parking in Ateneo if you live in a walking distance from it (xavierville/lgv/etc). You're part of the problem. That car you're bringing when you could have just walked or biked just contributes to the same problem you're bitching about.","November 21, 2018 7"
"16892","To the guy that left his jogging pants in the washroom. You're lucky it wasn't my size, I would have taken it then.","November 21, 2018 6"
"16891","Pls tag ur female Psych friends who are single and ready to mingle lezgo","November 21, 2018 6"
"16890","Sarap pala ng feeling na crush ka rin ng crush mo","November 21, 2018 6"
"16889","Fuck Upsilon.","November 21, 2018 6"
"16888","who has masterposts/lists of printing areas and nice bathrooms on campus? 
-freshie","November 21, 2018 6:16:25 PM +08"
"16887","do you ever open the submit link then stare at the submission box for a few minutes then say ""wag nalang"" coz you don't know how to put to words how sad you are :(","November 21, 2018 5"
"16886","All these critics demanding historical accuracy and a deeper plot. Complaining about the way the LGBTQ elements of the film were handled. I don't care what they all say, I have never jammed harder in the cinema in my entire life! Bohemian Rhapsody is a damn good watch.","November 21, 2018 4"
"16885","So sick of always being the second choice. Kahit nga sa groupworks I'm never someone's first choice. I do my work naman and I think I can work well with people naman. So why on earth do I still end up being left out? :(","November 21, 2018 4"
"16884","Are there people here in Ateneo that are Magicians? Well If you are, may you be a master, amateur, or even if youve never held a deck of cards but are an aspiring magician, please go ahead and comment ""A♤"" down below!
Itll be nice to see a bit of magic within Ateneo 😊","November 21, 2018 4:29:46 PM +08"
"16883","There's this cute guy in my English class. We sit far apart, and today was the first time we interacted. It was, like, the bare minimum for an interaction but ughhhhhhhh GOD YOU ARE SO CUTE I HOPE WE CAN TALK MORE","November 21, 2018 2"
"16882","I think the pro-choice movement is the real backward bloc. Kasi diba abortion, homosexuality, fornication were already existing before Christian civilization emerged. And what's happening right now is that this movement wants to bring back the pagan era? #IMO","November 21, 2018 1"
"16881","I don’t think the Ateneo community full appreciates and realizes how much respect and honor the Blue Babble Battalion brought to the school last Saturday during their UAAP competition. MOA arena was literally cheering for the school and they broke past all expectations.

They didn’t win but they definately became the winners of fan’s hearts. I can’t wait to see what they will bring next year! So proud of the them!!!","November 21, 2018 12:58:09 PM +08"
"16880","To the students making out in the car in the student parking lot, please hurry up. I need to get to class. Get a fucking room. Be more considerate.","November 21, 2018 12"
"16879","There's this girl I like but i'm just way too shy to ever try to talk to her. It sucks cause i bet she thinks i hate her because of that. If only she knew how i really felt","November 21, 2018 12"
"16878","I regret going to this school.","November 21, 2018 12"
"16877","im looking for friends huhu please email me

ateneofubu@gmail.com","November 21, 2018 11:48:31 AM +08"
"16876","#fwmentalhealth

How do you know if you have depression or if you're just thinking too much about things? As much as I'd like to feel better, I don't want to see a doctor/therapist/counselor just to find out I'm overstating my problems. Lately I've just been feeling generally down and that there isn't any point to anything. In the end, we all just die, and trying to ""find meaning"" in things just feels like hedonism to me. Sure, I can be happy and enjoy myself at times, but I don't know if that's just a distraction from how empty I feel. I feel that I can't relate with anyone. Why does it seem like everyone in Ateneo has so many friends and good relationships with other people, while I am just superficially connected to everyone? There are many of the little projects like JSEC challenge/SOM event case studies that need groups but I've never been able to be part of those because it just seems I'm not close enough to anyone to be invited to a group. I don't want burden people with my feelings, and I'd rather listen to other people and help them out, but no one tells me anything. I don't know how my blockmates can talk to each other so casually and, y'know, connect, when any conversation I start gets killed because it seems no one wants to talk to me.  It's like no one wants to know me. Maybe I'm just thinking too much. Everybody knows me as the super extroverted guy that isn't afraid to do anything, the guy with all the jokes and with the boundless energy and a mystic energy source that makes him always feel good. Heck, I even was a TNT back at OrSem.  I guarantee anyone who knows my name and has met me more than a couple of times will be surprised if they find out I wrote this. guess we all just have problems","November 21, 2018 11:38:17 AM +08"
"16875","To the girl on the 4th floor in New Lib,

I’m sorry for not keeping the elevator open :( 
 I saw you too late, and I don’t think the other person saw you =_=","November 21, 2018 11:02:37 AM +08"
"16874","how 2 go back to being best friends after trying to date","November 21, 2018 10"
"16873","I've never had the misfortune of knowing people like this personally but I can't believe that there are upperclassmen out there who seriously get offended when someone younger doesn't call them ""kuya/ate"".

Filipino culture or no, you've gotta be some asshole to get hurt by someone not giving you validation that you're better than they are.","November 21, 2018 10:48:50 AM +08"
"16872","Press F to pay respect to the DLSU Freedom Wall","November 21, 2018 10"
"16871","i feel like i’m putting too much effort here.","November 21, 2018 10"
"16870","is it weird to save crushie's ig pics uwu","November 21, 2018 10"
"16869","does anyone know how many calories a piece of boneless chicken is in SUTRA??? need sum info yo","November 21, 2018 9"
"16868","I’m super into this guy in my class. He’s soo handsome, but he’s shorter than me. :-((( I want to be shorter for you </3","November 21, 2018 9"
"16867","OH WHAT A MOTIVATION THAT I GOT TO SEE (AND TALK) TO MY CRUSH BEFORE A PRESENTATION CONSTITUTING 25% OF MY GRADE
I'M HYPED!","November 21, 2018 9:13:16 AM +08"
"16866","Someone should make an event singing the Halo theme song in Secwalk or Red brick road","November 21, 2018 8"
"16865","RIP DLSU Freedom Wall","November 21, 2018 8"
"16864","Anong oras nagbubukas NBS sa may Gate 2.5? 
or maybe the better question is - May Gtec Refill ba sa MVP bookstore?
GODDAMN HOW DO I SURVIVE THIS DAY WITHOUT BALLPEN","November 21, 2018 8:05:21 AM +08"
"16863","R.I.P. DLSU Freedom Wall 2018-2018.

F to pay respect","November 21, 2018 7:50:31 AM +08"
"16862","buhay great wall","November 21, 2018 7"
"16861","sometimes i want to give you the benefit of the doubt by overlooking your ""gago"" tendencies (maybe you have a really nice and soft side/facet that people may not have seen yet) but most of time, you're already going beyond the line na that i can't tolerate your behavior anymore. isn't easier to be nice and compassionate to people rather than being gago and rude to the students around you? come on where's your moral compass pare","November 21, 2018 7"
"16860","i want to not be grade conscious and focus on my learnings but i find it hard not to be. i've always been a very intelligent person. i just find it hard to study for hours upon hours memorising things i'll probably forget. i can get an avg c+ or b without trying too hard though. coming into admu i thought if i got a 3 qpi i'd already be honours or dl or something like in my old high school, but now i realise how hard it is to even get dl, much less cum laude. you need mostly b+ or a and with certain teachers, that's just impossible. 
 i know that it's definitely not so much about your grades when you graduate. kaya nga may mga bs org diyan diba? you need work experience too. and you can get a job easier than other people as long as you come from a good school like admu. but i guess it'd just be nice to have that haha in your face i got high grades thing going on again. but it's still hard to make that internal shift to grades don't matter !!! learning is more important !!! sigh...","November 21, 2018 6:36:45 AM +08"
"16859","TO ALL ATENEO LS STUDENTS

Help us by kindly answering this survey regarding people's perceptions of ADMU Freedom Wall!  bit.ly/ADMUFreedomWall","November 21, 2018 6:35:28 AM +08"
"16858","I'm gay. I liked someone but I thought he was straight because he has a girlfriend. In short, I never flirted with him. But 3 months later, I found out he's dating a guy. I'm in shock.","November 21, 2018 5"
"16857","Guys looking for team po. Sino po ba dito nag-ccsgo? Sali nyo po ako

https://www.facebook.com/buzzinternetcafe.com.ph/posts/1912561528799644?notif_id=1542718350014297&notif_t=notify_me_page&ref=notif","November 21, 2018 1:49:51 AM +08"
"16856","I'M SO SHINY

YES, AKALI THE TRUTH HAS BEEN SPOKEN,","November 21, 2018 1:29:53 AM +08"
"16855","Hey

I wanna marry you one day","November 21, 2018 1:03:18 AM +08"
"16854","I don't know who the hell thought of the 9 dash line but any non-insane person will realize how dumb it really is.

I'm glad that the typical anakbayan types of groups are focusing more on this nowadays rather than U.S intervention thousands of kilometers away. Don't get me wrong, it's important too as things like Iraq were wrong, but I'm pretty sure a country which aims to say that an entire SEA is their exclusive property, including areas only 50 miles away from Palawan, is more important.  Sure, these types of people post US-China-Duterte triumvirate regime posters/graffiti thinking that Xi Jinping is secretly teamed up with Trump or some other flat Earth tier belief but atleast they're finally focusing more on this joke of a map.  Seriously, everyone should. Like this is straight up imperialism, and it's not happening in some other continent, it's happening a few dozen miles away from Palawan. This is not okay. P.S: 1 million Uyghur muslim natives are being put in ""re-education"" camps by the Chinese government right now, with some being tortured...and we're getting closer politically and now physically to this country. This is bad.","November 21, 2018 12:34:30 AM +08"
"16853","Dear profs,

Thank you for mentoring and guiding us into reaching our dreams. Pagpasensyahan mo na rin kami kung natutulog kami sa mga klase niyo not because we are not interested with your subject but because we love your subject so much na handa kami magpuyat just to give our all kahit pagod na pagod na kami (sama mo na rin ang dami ng reqs na kailangan tapusin.)  Nga pala shout out sa lahat ng profs diyan, kayo talaga ang supehero ng buhay namin.","November 21, 2018 12:23:25 AM +08"
"16852","Gets ko na FRIENDS lang tayoo 
Wag mo na pamukha mesheket ne","November 21, 2018 12:15:54 AM +08"
"16851","Am I the only one with parents or relatives from other schools who generalize Ateneo as pro-Aquino?! This mindset needs to stop! Being anti-Duterte and anti-Marcos doesnt equate to being pro-Aquino by any means! Nor are we highly influenced/affected by the Aquinos’ schooling here in Ateneo 😠","November 21, 2018 12"
"16850","Okay so, I wish and hope that my parents wont see this meme. Bc istg, they'll mock me big time :(( kasi like, my ""a"" in parang becomes silent most of the time. So, it sounds like puhrung lagi :((((","November 21, 2018 12"
"16849","Am I the only one with parents or relatives from other schools who generalize Ateneo as pro-Aquino? UGH IM HEATED!!! Being anti-Duterte and anti-Marcos doesnt equate to being pro-Aquino!!!! BY ANY MEANS!!! and yes, we arent influenced by the fact that the Aquinos were schooled here!!!!","November 21, 2018 12"
"16848","Tbh, cookies by the bucket is overpriced and tastes like normal cookies","November 20, 2018 11"
"16847","COOKIES BY THE BUCKET WHERE U AT!!!! h m p h. >:--( x(

-N.L&M.D","November 20, 2018 11:54:17 PM +08"
"16846","Honestly, RiB finals should be renamed as 'CADs 1st sem concert featuring RiB finalists' lol

literally less than half of the program is about the RiB orgs. Always.","November 20, 2018 11:52:15 PM +08"
"16845","U KNOW WHAT IM SO FUCKIN D O N E WITH FEELING LIKE SHIT!! I HAVE NO TIME FOR THAT BITCH I GOTTA FLOURISH. I GOTTA GET THAT MUTHAFUKEN BREAD!!!! so to all these bad vibes and bitchass people who dont treat me right, GOOD DAY AND GOOD BYE!","November 20, 2018 11"
"16844","what is cookies by the bucket? and why is it not in the bucket?","November 20, 2018 11"
"16843","i love u i love u i love u i love u i love u i love u i love u i love u","November 20, 2018 11"
"16842","Omg when mr. cum laude makes a 17 FREAKING PAGES LONG reviewer for the LT but you’ll still be getting mediocre grades... 🙃
On a serious note, THANKS MIGUEL!!! I know a lot of girls (and guys) are hopping on your D in the group chat right now but let me cowardly tell you on the FW that you’re GENUINELY one of the nicest/sweetest people I’ve met in our course. Please remember that and hold on to it. The type of personality you have is very rare and it’s just as valuable as your ginormous brain. The world needs more kind people like you. Thanks for everything!!! (not just for the reviewer 🤗) ❤️ Sincerely,
 🦞🦞🦞","November 20, 2018 11:09:22 PM +08"
"16841","I think I'm starting to develop feelings for a friend who has a crush on me......... But what if I only like him because I know that he likes me?","November 20, 2018 11"
"16840","""Well, now it is time to be off, I to die and you to live; but which of us has the happier prospect is unknown to anyone but God""

I almost killed myself after philo class. When this week started, I was already feeling very ""off"" about everything. I still have things to do, promises to fulfil, groupworks to finish but the thought of actually leaving the pressure behind and live through the people you love does seem quite nice. I was tearing up during philo class and I swear if the class didn't end early, I wouldve went straight for the balcony and jumped. I stopped myself from doing it but I didnt imagine that it would be so tiring to convince myself not to. Tommorow's a new day I guess","November 20, 2018 11:01:26 PM +08"
"16839","i feel like the only role i have in my friends' lives is to be their rant box... they always vent about their problems and shit but when i tell them about mine, they couldn't even care less","November 20, 2018 10"
"16838","this crush is getting out of hand, I've been listening exclusively to Taylor Swift for the past week.","November 20, 2018 10"
"16837","Alam mo 'yung masakit
.
.
 .
 'Yung kinukuwento sa'yo nung crush mo 'yung crush niya </3","November 20, 2018 10:51:13 PM +08"
"16836","Is there a way we can help the drivers usually parked in Northwest (Arete) this week :( I’ve observed that their usual parking was blocked due to an important event in Arete this whole week, now they’re left stranded all around the campus because they can’t stay at their usual parking slots. Is there a way to find a place wherein they can stay for the meantime this week so that they wouldn’t be asked by the guards to move their cars :( it would be really helpful for them. Thanks!","November 20, 2018 10"
"16835","mga bosxh sira daw fbc, it's ur chance to get ur crush's number na 
GO GO GOOOOOOOOOO","November 20, 2018 10:37:36 PM +08"
"16834","Not every friend will listen, not every friend will care, not every friend will give you the right opinion, not every friend will treat you right.
In short, not every friend is a friend. Keep your circle small. Or face the consequences of betrayal. 
Especially those who like to pry alot.","November 20, 2018 10:30:07 PM +08"
"16833","ang ganda maglakad sa som forest during golden hour skl sobrang romantic
dalhin niyo na mga jowa/future jowa niyo 
#ShootYourShot2018","November 20, 2018 10:28:05 PM +08"
"16832","y'all think you're doing something revolutionary when you post those ""[currently popular thing] is overrated"" posts like,, listen ,,, no one cares,,, let people enjoy things, ,,","November 20, 2018 10"
"16831","*Me having a convo with boyfie*
Boyfie: You should try one of those menstrual cups. Advocate of sustainability ka diba?
Me: No, thanks...
 Boyfie: Why not?
 Me: Baka masakit.
 Boyfie: Oh come on maliit lang naman yun eh. :*
 Me: ...
 Boyfie: ... 
 Me, a scared virgin: EH TANGINA WE CAN'T EVEN PUT YOUR FUCKING DICK INSIDE ME AND YOU EXPECT ME TO BUY A FUCKING MENSTRUAL CUP??? GO AWAAAAAY.","November 20, 2018 10:04:41 PM +08"
"16830","Hey boy
Look, i'm gonna make this simple for you
You got two choices
 Yes or Yes","November 20, 2018 9:54:10 PM +08"
"16829","Anyone play Street Fighter V? I'm looking for a sparring partner to get my Guile or Dhalsim up to speed (just about to buy the game this Steam Autumn/Winter sale).","November 20, 2018 9"
"16828","",""
"16827","I wish i could see you more but my eyes are really bad HAHAHHAAH","November 20, 2018 9"
